player,result,shot distance,x,y
Al Jefferson,made,0ft,25,88
Al Jefferson,made,10ft,35,85
Al Jefferson,missed,10ft,18,81
Al Jefferson,made,13ft,13,82
Al Jefferson,missed,14ft,11,85
Al Jefferson,missed,14ft,14,79
Al Jefferson,made,14ft,13,81
Al Jefferson,missed,15ft,11,83
Al Jefferson,missed,16ft,11,80
Al Jefferson,made,17ft,18,72
Al Jefferson,made,17ft,12,77
Al Jefferson,missed,17ft,25,71
Al Jefferson,made,18ft,39,77
Al Jefferson,missed,18ft,11,77
Al Jefferson,made,1ft,25,87
Al Jefferson,made,1ft,26,88
Al Jefferson,made,1ft,24,87
Al Jefferson,made,1ft,25,87
Al Jefferson,made,1ft,26,88
Al Jefferson,made,1ft,24,88
Al Jefferson,missed,2ft,25,86
Al Jefferson,missed,2ft,23,87
Al Jefferson,missed,2ft,27,87
Al Jefferson,missed,3ft,27,86
Al Jefferson,made,6ft,19,86
Al Jefferson,made,8ft,24,80
Al Jefferson,missed,9ft,24,79
Alan Anderson,missed,10ft,15,8
Alan Anderson,made,1ft,24,6
Alan Anderson,missed,23ft,2,8
Alan Anderson,made,25ft,7,24
Alan Anderson,missed,25ft,15,29
Alan Anderson,missed,26ft,4,21
Alan Anderson,missed,2ft,23,7
Alan Anderson,made,2ft,23,6
Andray Blatche,missed,13ft,31,18
Andray Blatche,missed,17ft,34,21
Andray Blatche,made,1ft,24,6
Andray Blatche,missed,2ft,25,8
Andray Blatche,missed,2ft,27,7
Andray Blatche,missed,2ft,23,6
andray blatche,made,7ft,25,13
Anthony Tolliver,missed,23ft,48,84
Anthony Tolliver,made,25ft,21,63
Anthony Tolliver,missed,26ft,35,64
Chris Douglas-Roberts,made,1ft,26,88
Chris Douglas-Roberts,made,1ft,25,87
Chris Douglas-Roberts,made,21ft,4,84
Chris Douglas-Roberts,made,23ft,48,87
Chris Douglas-Roberts,made,24ft,49,85
Chris Douglas-Roberts,made,26ft,25,62
Chris Douglas-Roberts,missed,26ft,10,67
Chris Douglas-Roberts,missed,26ft,39,66
Chris Douglas-Roberts,missed,26ft,43,69
Chris Douglas-Roberts,missed,27ft,16,63
Chris Douglas-Roberts,missed,27ft,43,68
Chris Douglas-Roberts,missed,2ft,27,88
Chris Douglas-Roberts,missed,3ft,25,85
Chris Douglas-Roberts,missed,6ft,25,82
Cody Zeller,made,19ft,8,79
Cody Zeller,made,1ft,24,88
Cody Zeller,missed,2ft,27,88
Deron Williams,missed,15ft,13,15
Deron Williams,made,17ft,32,22
Deron Williams,made,19ft,37,21
Deron Williams,missed,1ft,24,7
Deron Williams,made,1ft,24,7
Deron Williams,made,21ft,44,15
Deron Williams,missed,21ft,14,24
Deron Williams,made,23ft,2,7
Deron Williams,missed,23ft,48,10
Deron Williams,missed,25ft,18,30
Deron Williams,missed,25ft,29,31
Deron Williams,missed,25ft,18,30
Deron Williams,made,26ft,31,31
Deron Williams,made,26ft,8,26
Deron Williams,made,26ft,6,24
Deron Williams,missed,26ft,28,32
Deron Williams,made,26ft,24,32
Deron Williams,missed,28ft,18,33
Deron Williams,made,2ft,23,6
Deron Williams,missed,6ft,26,12
Deron Williams,made,7ft,23,13
Gerald Henderson,missed,15ft,11,82
Gerald Henderson,made,16ft,9,87
Gerald Henderson,missed,16ft,40,84
Gerald Henderson,missed,17ft,18,72
Gerald Henderson,missed,20ft,28,68
Gerald Henderson,made,25ft,11,67
Gerald Henderson,made,2ft,27,88
Gerald Henderson,missed,31ft,14,59
Joe Johnson,made,10ft,31,14
Joe Johnson,missed,13ft,35,14
Joe Johnson,missed,14ft,39,9
Joe Johnson,made,15ft,28,21
